n_cities,density,alpha,beta,seed,baseline_cost,my_cost,improvement_pct,wins,path_len
10,0.1,4.0,4.0,42,437267640471784.1,67863937801294.61,84.47999999998314,True,124
10,0.2,0.0,0.0,42,54.75831469051837,15.49273574078654,71.7070625194585,True,10
10,0.2,0.0,1.0,42,16.758314690518368,5.0613517623806565,69.79796682512293,True,11
10,0.2,0.0,2.0,42,16.758314690518368,4.611126740188468,72.48454379009017,True,10
10,0.2,0.0,3.0,42,16.758314690518368,4.611126740188468,72.48454379009017,True,10
10,0.2,0.0,4.0,42,16.758314690518368,4.611126740188468,72.48454379009017,True,10
10,0.2,0.5,0.0,42,54.75831469051837,14.61112674018847,73.31706276431761,True,10
10,0.2,0.5,1.0,42,2456.522479813857,2448.734741210426,0.31702289180847215,True,20
10,0.2,0.5,2.0,42,458977.56384264963,238622.37776781683,48.010012565750756,True,75
10,0.2,0.5,3.0,42,103804056.80090506,28996645.61118621,72.06598036259659,True,75
10,0.2,0.5,4.0,42,25821005028.466446,3997276444.6360526,84.51928404711883,True,75
10,0.2,1.0,0.0,42,54.75831469051837,16.061351762380657,70.66865214323013,True,11
10,0.2,1.0,1.0,42,4896.286644937196,4888.498906333763,0.15905397637381047,True,20
10,0.2,1.0,2.0,42,1835859.980426527,954390.522695079,48.01398075721742,True,75
10,0.2,1.0,3.0,42,830432337.0990376,231972933.91661188,72.06600423016202,True,75
10,0.2,1.0,4.0,42,413136080204.0884,63956422619.234985,84.51928415750068,True,75
10,0.2,2.0,0.0,42,54.75831469051837,14.611126740188467,73.31706276431761,True,10
10,0.2,2.0,1.0,42,9775.814975183872,9768.027236580441,0.07966331833407217,True,20
10,0.2,2.0,2.0,42,7343389.646762038,3817463.102404126,48.014972839043324,True,75
10,0.2,2.0,3.0,42,6643458579.484098,1855783240.3600187,72.06600721360815,True,75
10,0.2,2.0,4.0,42,6610177283014.039,1023302761412.8177,84.51928416439955,True,75
10,0.2,4.0,0.0,42,54.75831469051837,15.49273574078654,71.7070625194585,True,10
10,0.2,4.0,1.0,42,19534.871635677227,19527.083897073797,0.039865829418646415,True,20
10,0.2,4.0,2.0,42,29373508.312104076,15269753.421240319,48.0152208616223,True,75
10,0.2,4.0,3.0,42,53147668518.56459,14846265691.907263,72.06600758653894,True,75
10,0.2,4.0,4.0,42,105762836527973.27,16372844182110.148,84.51928416483074,True,75
10,0.5,0.0,0.0,42,30.15548484819044,14.426590315602375,52.15931566602524,True,10
10,0.5,0.0,1.0,42,8.155484848190437,4.233192157782805,48.093924069737206,True,11
10,0.5,0.0,2.0,42,8.155484848190437,4.209147906924449,48.388747140418175,True,11
10,0.5,0.0,3.0,42,8.155484848190437,4.209147906924449,48.388747140418175,True,11
10,0.5,0.0,4.0,42,8.155484848190437,4.209147906924449,48.388747140418175,True,11
10,0.5,0.5,0.0,42,30.15548484819044,14.478515932486246,51.98712272286655,True,10
10,0.5,0.5,1.0,42,1054.4164161915226,1052.9598589573927,0.13813870988378707,True,18
10,0.5,0.5,2.0,42,137784.52857492032,71660.0249765339,47.991239860019,True,44
10,0.5,0.5,3.0,42,20701236.884146478,5796360.354994953,71.99993223866758,True,44
10,0.5,0.5,4.0,42,3299453554.173305,512075206.6529352,84.4799995440082,True,44
10,0.5,1.0,0.0,42,30.15548484819044,14.406560249518076,52.22573829588888,True,10
10,0.5,1.0,1.0,42,2100.6773475348546,2099.2207903007247,0.06933750372655288,True,18
10,0.5,1.0,2.0,42,551113.6478451367,286591.1669970465,47.99780986777907,True,44
10,0.5,1.0,3.0,42,165609837.98477793,46370768.663171746,71.99999152983054,True,44
10,0.5,1.0,4.0,42,52791256744.44061,8193203061.782417,84.47999997150052,True,44
10,0.5,2.0,0.0,42,30.15548484819044,14.199764129062455,52.91150448899332,True,10
10,0.5,2.0,1.0,42,4193.19921022152,4191.742652987389,0.034736180207708134,True,18
10,0.5,2.0,2.0,42,2204430.1249260027,1146315.7350790966,47.999452460867836,True,44
10,0.5,2.0,3.0,42,1324878646.7898295,370966035.12858605,71.99999894122878,True,44
10,0.5,2.0,4.0,42,844660107788.7175,131091248743.85416,84.47999999821879,True,44
10,0.5,4.0,0.0,42,30.15548484819044,14.545601526857041,51.764657076207186,True,10
