n_cities,density,density_used,alpha,beta,trip_limit_used,seed,baseline_cost,my_cost,improvement_pct,wins,path_len
100,0.5,0.5,1.0,2.0,3.0,42,4696149.778603789,2449315.347849168,47.84418165262665,True,600
100,0.5,0.5,1.0,4.0,1.0,42,564325723705.0867,98633111714.91357,82.52195362151191,True,598
100,0.5,0.5,2.0,0.5,inf,42,2140.0044610063965,1677.009591903667,21.635229156718363,True,181
100,0.5,0.5,2.0,1.0,inf,42,37545.81383775821,37532.56845443084,0.03527792308512477,True,263
100,0.5,0.5,2.0,2.0,3.0,42,18784368.622155804,9873978.308910388,47.43513339455967,True,611
100,0.5,0.5,2.0,4.0,1.0,42,9029211578128.924,1604036317373.9236,82.23503454876045,True,600
100,0.5,0.5,4.0,0.5,inf,42,2994.598992343947,2357.6730728854277,21.26915560603931,True,183
100,0.5,0.5,4.0,1.0,inf,42,75014.796922395,75001.4610745987,0.017777623006966288,True,266
100,0.5,0.5,4.0,2.0,3.0,42,75137243.99636383,39147063.69550798,47.899255264935654,True,601
100,0.5,0.5,4.0,4.0,1.0,42,144467385248910.28,25220596378996.863,82.54235976131014,True,600
100,1.0,1.0,0.0,0.5,inf,42,74.45312928140083,9.363197578315557,87.42403755398018,True,100
100,1.0,1.0,0.0,1.0,inf,42,74.45312928140083,9.02200930501095,87.88229669848847,True,100
100,1.0,1.0,0.0,2.0,inf,42,74.45312928140083,9.292498916732772,87.51899482745566,True,100
100,1.0,1.0,0.0,4.0,inf,42,74.45312928140083,9.421094308084141,87.34627489937132,True,100
100,1.0,1.0,1.0,0.5,inf,42,1292.6308177628093,1083.5227742947168,16.176934712882787,True,138
100,1.0,1.0,1.0,1.0,inf,42,18266.185795826725,18257.848798380302,0.04564169848927589,True,178
100,1.0,1.0,1.0,2.0,4.0,42,5404978.08899582,3001450.774267775,44.46877073602701,True,370
100,1.0,1.0,1.0,4.0,2.0,42,793337760921.4327,183201343615.7647,76.90752254084275,True,362
100,1.0,1.0,2.0,0.5,inf,42,1797.2165377121157,1513.316884186378,15.796630376390052,True,140
100,1.0,1.0,2.0,1.0,inf,42,36457.91846237206,36450.79107416859,0.019549630105245297,True,179
100,1.0,1.0,2.0,2.0,4.0,42,21619688.996595442,12032577.271965023,44.344355398175004,True,364
100,1.0,1.0,2.0,4.0,2.0,42,12693404173626.127,2924387770448.4863,76.9613593765125,True,364
100,1.0,1.0,4.0,0.5,inf,42,2510.8085062442165,2129.9733102861574,15.167831199031982,True,138
100,1.0,1.0,4.0,1.0,inf,42,72841.38379546271,72837.08281148753,0.0059045885059691525,True,184
100,1.0,1.0,4.0,2.0,4.0,42,86478532.62699391,47987794.312996574,44.509009513399874,True,370
100,1.0,1.0,4.0,4.0,2.0,42,203094466776901.22,46824388195786.52,76.94452786484676,True,365
